,year_released,reporting_year,race,sex,age_at_release,conviction_class,convicting_type,conviction_subtype,release_type,supervising_district,recidivism,recidivism_type,days_to_recidivism,new_conviction_class,new_conviction_type,new_conviction_subtype,target_poulation,sort_number,initial_supervision_status,recidivism_supervision_status
0,2014,2017,White - Non-Hispanic,,Under 25,C Felony,Violent,Sex,,,No,,,,,,No,,,
1,2014,2017,White - Non-Hispanic,,Under 25,C Felony,Violent,Sex,,,No,,,,,,No,,,
2,2014,2017,White - Non-Hispanic,,Under 25,C Felony,Violent,Sex,,,No,,,,,,No,,,
3,2014,2017,White - Non-Hispanic,,Under 25,C Felony,Violent,Sex,,,No,,,,,,No,,,
4,2014,2017,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,,,No,,,,,,Yes,,,
5,2014,2017,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,,,No,,,,,,Yes,,,
6,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
7,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
8,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
9,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
10,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
11,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
12,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
13,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
14,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
15,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,,,No,,,,,,No,,,
16,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
17,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
18,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
19,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
20,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
21,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
22,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
23,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
24,2014,2017,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,,,No,,,,,,No,,,
25,2014,2017,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,,,No,,,,,,No,,,
26,2014,2017,White - Non-Hispanic,,25-34,B Felony,Drug,Trafficking,,,No,,,,,,No,,,
27,2014,2017,Black - Non-Hispanic,,25-34,C Felony,Property,Burglary,,,No,,,,,,Yes,,,
28,2014,2017,Black - Non-Hispanic,,25-34,C Felony,Property,Burglary,,,No,,,,,,Yes,,,
29,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,,,No,,,,,,No,,,
30,2014,2017,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,,,No,,,,,,No,,,
31,2014,2017,White - Non-Hispanic,,25-34,D Felony,Violent,Other Violent,,,No,,,,,,No,,,
32,2014,2017,White - Non-Hispanic,,25-34,D Felony,Violent,Other Violent,,,No,,,,,,No,,,
33,2014,2017,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,,,No,,,,,,Yes,,,
34,2014,2017,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,,,No,,,,,,Yes,,,
35,2014,2017,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
36,2014,2017,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
37,2014,2017,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
38,2014,2017,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
39,2014,2017,White - Hispanic,,35-44,D Felony,Violent,Assault,,,No,,,,,,No,,,
40,2014,2017,Black - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,,,No,,,,,,Yes,,,
41,2014,2017,White - Non-Hispanic,,Under 25,C Felony,Property,Theft,,,No,,,,,,Yes,,,
42,2014,2017,White - Non-Hispanic,,45-54,D Felony,Drug,Drug Possession,,,No,,,,,,Yes,,,
43,2014,2017,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
44,2014,2017,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,,,No,,,,,,No,,,
